"fecha";"ganadero";"ruta";"litros_leche";"kg_mg_leche";"kg_mp_leche"
2020-01-05;7;"ruta01";648;23,9604473074746;20,6664851707091
2020-01-05;8;"ruta01";647;24,6180096355095;21,0371530076054
2020-01-05;9;"ruta01";648;24,865573634746;20,9269271106149
2020-01-05;10;"ruta01";648;24,1636788345464;20,6167162119798
2020-01-06;1;"ruta01";648;24,4329250098638;20,8499492098709
2020-01-06;2;"ruta01";650;24,6245273967281;21,0539614443526
2020-01-06;3;"ruta01";647;24,2333581060904;20,8199832762159
2020-01-06;4;"ruta01";648;25,0612853684197;20,7571372918183
2020-01-06;5;"ruta01";648;24,5115890971922;20,8766851923852
2020-01-06;6;"ruta01";648;24,3257763048205;20,5558143936946
2020-01-06;7;"ruta01";648;24,3920417816976;20,6440101246258
2020-01-06;8;"ruta01";649;25,6611675097113;20,8812787377318
2020-01-06;9;"ruta01";647;24,6887017149939;20,9906868737162
2020-01-06;10;"ruta01";648;24,8092186122968;20,6384706457168
2020-01-07;1;"ruta01";648;24,6195071861654;20,8407801286837
2020-01-07;2;"ruta01";648;23,7747692605918;21,075214606785
2020-01-07;3;"ruta01";647;24,3830455704766;20,7861982870929
2020-01-07;4;"ruta01";648;25,0388004626276;20,8278091675517
2020-01-07;5;"ruta01";646;25,0035628750824;20,8696751616013
2020-01-07;6;"ruta01";649;24,8438571169229;20,8598250694533
2020-01-07;7;"ruta01";647;24,5852975807975;20,6180012530518
2020-01-07;8;"ruta01";649;24,7153604700797;20,9269054442222
2020-01-07;9;"ruta01";647;24,4180040908042;20,7971278905261
2020-01-07;10;"ruta01";649;25,2095701242816;21,0739090016831
2020-01-08;1;"ruta01";647;25,0445112702738;20,9347959377046
2020-01-08;2;"ruta01";649;24,5630288204076;20,83984865448
2020-01-08;3;"ruta01";649;24,6236602716997;20,8684392242339
2020-01-08;4;"ruta01";647;24,9143787522329;20,900063466853
2020-01-08;5;"ruta01";651;24,6304376554116;20,9061627527115
2020-01-08;6;"ruta01";649;24,8916162210761;20,8127630597872
2020-01-08;7;"ruta01";648;24,4954687231735;21,0279465003883
2020-01-08;8;"ruta01";648;24,7694987288321;20,7553775894487
2020-01-08;9;"ruta01";648;24,7009591259041;21,0647431930755
2020-01-08;10;"ruta01";650;24,8612210966524;20,8615011954186
2020-01-09;1;"ruta01";649;23,7613921200507;20,8059081609342
2020-01-09;2;"ruta01";648;24,7853600705272;20,7067737472403
2020-01-09;3;"ruta01";648;24,4201661813812;20,9484384763854
2020-01-09;4;"ruta01";648;24,8110700194498;20,9411812941865
2020-01-09;5;"ruta01";647;24,4822971088318;20,721392808483
2020-01-09;6;"ruta01";649;24,5828497096614;20,7785825340227
2020-01-09;7;"ruta01";647;24,5027433554929;20,7810619556319
2020-01-09;8;"ruta01";649;24,227554555176;20,8315607835752
2020-01-09;9;"ruta01";648;24,3689613345509;20,901134706704
2020-01-09;10;"ruta01";649;24,7521508750329;20,7809104399147
2020-01-10;1;"ruta01";648;25,1189330135039;21,206722668389
2020-01-10;2;"ruta01";649;25,291890470308;20,8180886521121
2020-01-10;3;"ruta01";649;24,8208758026865;20,7235292723713
2020-01-10;4;"ruta01";646;24,572603967485;20,6430283143033
2020-01-10;5;"ruta01";647;24,6977823267027;20,8334192007458
2020-01-10;6;"ruta01";650;24,8197098908276;20,786055464537
2020-01-10;7;"ruta01";648;25,1015392268594;20,6565614963237
2020-01-10;8;"ruta01";647;25,6215345824258;20,8664326452501
2020-01-10;9;"ruta01";646;24,5392844445519;20,5668461240451
2020-01-10;10;"ruta01";649;24,886464923686;20,9443685947155
2020-01-11;1;"ruta01";647;25,2967818451067;21,0225218828937
2020-01-11;2;"ruta01";647;25,4969394746741;20,4861965039599
2020-01-11;3;"ruta01";649;25,2460212558978;21,0948394791777
2020-01-11;4;"ruta01";648;24,5292926378043;20,8288894124259
2020-01-11;5;"ruta01";648;24,5415664111504;20,7860948316601
2020-01-11;6;"ruta01";648;25,0715844679992;20,7627127777868
2020-01-11;7;"ruta01";648;24,0915347882548;20,8459414268356
2020-01-11;8;"ruta01";648;24,5355372129497;20,8161446426044
2020-01-11;9;"ruta01";648;24,9985746353623;20,854673251972
2020-01-11;10;"ruta01";648;24,9035708310009;21,0309226875119
2020-01-12;1;"ruta01";647;24,3744340240214;20,6842337293916
2020-01-12;2;"ruta01";648;25,1821483062394;21,1431886460902
2020-01-12;3;"ruta01";648;24,6013220278078;20,8521194274048
2020-01-12;4;"ruta01";646;24,0547721934139;21,0411463677084
2020-01-12;5;"ruta01";648;24,6580181189912;20,6155645524032
2020-01-12;6;"ruta01";650;24,7573431984169;20,808409256968
2020-01-12;7;"ruta01";648;24,7923303769849;20,9287101913574
2020-01-12;8;"ruta01";649;24,835786549728;20,833967661101
2020-01-12;9;"ruta01";647;24,8270220292266;21,105909910355
2020-01-12;10;"ruta01";648;24,0188795727279;20,8394659025157
2020-01-13;1;"ruta01";649;24,1176559983562;20,754788982592
2020-01-13;2;"ruta01";647;24,4811900559235;20,8893867120852
2020-01-13;3;"ruta01";648;24,5125179765749;20,7649858544389
2020-01-13;4;"ruta01";647;25,1026527517912;20,4464645864854
2020-01-13;5;"ruta01";650;24,4490326719363;21,1202809402518
2020-01-13;6;"ruta01";648;24,4087736307964;20,8268874403919
2020-01-13;7;"ruta01";651;24,5062317707831;20,8973029534462
2020-01-13;8;"ruta01";648;24,8931013277015;20,5875656894454
2020-01-13;9;"ruta01";648;25,2865917956835;20,8262145711417
2020-01-13;10;"ruta01";650;24,4849747828384;20,8237263840351
2020-01-14;1;"ruta01";650;24,2799814687858;20,8580705689656
2020-01-14;2;"ruta01";649;24,662090937606;20,865495238984
2020-01-14;3;"ruta01";649;24,7526849272203;20,8530579987541
2020-01-14;4;"ruta01";647;25,0663986157755;20,7357328053675
2020-01-14;5;"ruta01";648;24,6887001888898;21,0209473321862
2020-01-14;6;"ruta01";648;24,352035016294;20,9688192034183
2020-01-14;7;"ruta01";649;24,5772999424004;20,8789939127084
2020-01-14;8;"ruta01";648;24,4299459446877;20,9456008610395
2020-01-14;9;"ruta01";647;24,3614540295599;21,0343971102172
2020-01-14;10;"ruta01";647;24,3232879547269;20,6298175242384
2020-01-15;1;"ruta01";647;24,9786626604218;20,8532459830189
2020-01-15;2;"ruta01";651;25,3310461131196;20,9840052940691
2020-01-15;3;"ruta01";649;24,5734164010216;21,0298545676975
2020-01-15;4;"ruta01";647;25,0485868823319;21,0709899986985
2020-01-15;5;"ruta01";648;24,9738589159174;20,8361562873501
2020-01-15;6;"ruta01";650;25,1839787930876;20,8909697686356
2020-01-15;7;"ruta01";650;24,588465624855;20,6452942193185
2020-01-15;8;"ruta01";648;24,651088025239;20,7292485333928
2020-01-15;9;"ruta01";649;25,0412818316466;20,8863113643639
2020-01-15;10;"ruta01";649;25,1056050612616;20,8829586720226
2020-01-16;1;"ruta01";647;24,7893765868126;20,5289199222098
2020-01-16;2;"ruta01";648;25,0857412846767;20,619098768204
2020-01-16;3;"ruta01";648;24,5658419365227;20,8608814312014
2020-01-16;4;"ruta01";647;25,1288301259571;20,7430633317297
2020-01-16;5;"ruta01";648;25,1467701494824;20,8487026265676
2020-01-16;6;"ruta01";645;24,3970352850532;20,9368198649061
2020-01-16;7;"ruta01";648;24,6178209064256;20,6715223452435
2020-01-16;8;"ruta01";649;24,3938138974682;21,0792868897555
2020-01-16;9;"ruta01";650;24,7101370059512;21,0380084169254
2020-01-16;10;"ruta01";648;24,3818462777085;20,7915050232723
2020-01-17;1;"ruta01";648;24,5017224771553;21,0857426474189
2020-01-17;2;"ruta01";646;24,424716284722;20,3342962045421
2020-01-17;3;"ruta01";649;24,6679870949579;20,8477097611374
2020-01-17;4;"ruta01";648;24,4811630359961;20,8779172301328
2020-01-17;5;"ruta01";649;25,3804128272588;21,0182360561329
2020-01-17;6;"ruta01";647;24,8523850963719;20,9500020095707
2020-01-17;7;"ruta01";648;25,2790882887875;20,4778415789971
2020-01-17;8;"ruta01";648;24,2054860910839;20,8593401360118
2020-01-17;9;"ruta01";647;24,5184196604248;20,6140461161243
2020-01-17;10;"ruta01";649;24,6472576003759;21,0053852234802
2020-01-18;1;"ruta01";648;24,5374716679529;20,9086856266214
2020-01-18;2;"ruta01";648;24,7697870399323;20,4848728088369
2020-01-18;3;"ruta01";648;24,7932773737551;21,0244698894155
2020-01-18;4;"ruta01";647;24,6956849964356;20,8670188019157
2020-01-18;5;"ruta01";650;24,6541644914595;21,0731121575559
2020-01-18;6;"ruta01";648;24,4524657153493;20,7826802732844
2020-01-18;7;"ruta01";648;24,5018329744429;20,7148278983143
2020-01-18;8;"ruta01";648;24,1524217027077;20,9631617618504
2020-01-18;9;"ruta01";648;24,1958447547721;20,8216797647056
2020-01-18;10;"ruta01";648;24,8379435823766;20,5619000652203
2020-01-19;1;"ruta01";649;24,6439299576802;20,8109469052298
2020-01-19;2;"ruta01";648;24,6114319294317;20,5806874751377
2020-01-19;3;"ruta01";649;24,1039712704683;20,9480868674372
2020-01-19;4;"ruta01";648;25,0918461982976;20,6880568856699
2020-01-19;5;"ruta01";647;25,0920927315853;20,9031009472319
2020-01-19;6;"ruta01";648;25,0166113087363;20,9687865977307
2020-01-19;7;"ruta01";648;25,1794328041185;20,9118199720724
2020-01-19;8;"ruta01";648;23,871317324833;21,1439716238667
2020-01-19;9;"ruta01";649;24,9038265019939;20,7268314327516
2020-01-19;10;"ruta01";647;24,7478247909067;20,7343291912674
2020-01-20;1;"ruta01";649;24,8581472793885;20,7882541911186
2020-01-20;2;"ruta01";650;24,9421696442911;20,6760267476733
2020-01-20;3;"ruta01";647;24,8126626656033;20,54306124507
2020-01-20;4;"ruta01";649;24,6326674823457;20,8313352561704
2020-01-20;5;"ruta01";648;25,080825637494;20,7059528243322
2020-01-20;6;"ruta01";649;24,758585557395;21,002652303464
2020-01-20;7;"ruta01";649;25,1099321232445;20,6640329647235
2020-01-20;8;"ruta01";650;24,7808686405973;20,6479285151226
2020-01-20;9;"ruta01";650;24,8113439494163;20,8249119794474
2020-01-20;10;"ruta01";647;24,7241724478837;20,9638336613756
2020-01-21;1;"ruta01";648;23,5278729617138;20,5223333596476
2020-01-21;2;"ruta01";647;24,8293096759296;20,7922775867455
2020-01-21;3;"ruta01";649;24,4346084158933;20,7850842738662
2020-01-21;4;"ruta01";648;24,4812229903747;20,4183599081718
2020-01-21;5;"ruta01";648;24,2898361482767;21,0314854081268
2020-01-21;6;"ruta01";648;24,9645839682837;20,4864517309537
2020-01-21;7;"ruta01";647;24,7110457469148;20,7752558483428
2020-01-21;8;"ruta01";648;24,8114731552461;20,7784963110799
2020-01-21;9;"ruta01";648;25,1701687666217;20,7852538417839
2020-01-21;10;"ruta01";647;25,0155199134065;20,4156586971088
2020-01-22;1;"ruta01";649;24,441673578518;20,7903429721179
2020-01-22;2;"ruta01";647;24,6998103733196;20,6970974939619
2020-01-22;3;"ruta01";647;24,9350163102128;20,6567448720989
2020-01-22;4;"ruta01";649;25,1626036780092;21,0380848589107
2020-01-22;5;"ruta01";648;24,652025011467;20,6937653100628
2020-01-22;6;"ruta01";647;24,8696026733291;20,816022029254
2020-01-22;7;"ruta01";650;24,9380858660645;21,0034794425207
2020-01-22;8;"ruta01";649;24,2406499830166;20,8054647759079
2020-01-22;9;"ruta01";648;24,4252947285161;20,8945085778577
2020-01-22;10;"ruta01";647;24,33330214979;20,6462626082968
2020-01-23;1;"ruta01";648;24,9336881474098;20,9027835567342
2020-01-23;2;"ruta01";650;24,6931261153261;20,7870530171048
2020-01-23;3;"ruta01";648;24,2801728118149;20,7229588595813
2020-01-23;4;"ruta01";649;24,6138867741608;20,7800678609608
2020-01-23;5;"ruta01";647;24,4763880833912;20,5829615755172
2020-01-23;6;"ruta01";647;24,6530191931027;21,005695103539
2020-01-23;7;"ruta01";648;25,5141461115604;20,9170494982252
2020-01-23;8;"ruta01";647;24,447624767579;20,9363373567256
2020-01-23;9;"ruta01";648;24,8660100325601;20,7901698065843
2020-01-23;10;"ruta01";647;24,3758695427597;20,8937515482814
2020-01-24;1;"ruta01";648;24,3608575356433;20,7693269542243
2020-01-24;2;"ruta01";648;25,1102746851609;20,5711576389475
2020-01-24;3;"ruta01";646;24,3664285403856;21,0116822307689
2020-01-24;4;"ruta01";649;24,7479815739903;21,0707817429955
2020-01-24;5;"ruta01";648;24,6857645917493;20,7823311445488
2020-01-24;6;"ruta01";648;24,6900052584647;20,8472970426652
2020-01-24;7;"ruta01";648;24,5561070793459;20,7458687681747
2020-01-24;8;"ruta01";650;24,8283580419488;20,8840575610949
2020-01-24;9;"ruta01";648;23,9873403214049;20,7792537942944
2020-01-24;10;"ruta01";647;24,7927215575122;20,7410086861384
2020-01-25;1;"ruta01";649;24,8347341727388;21,0962862903385
2020-01-25;2;"ruta01";649;25,166163004801;20,8587936892152
2020-01-25;3;"ruta01";649;25,0349978892297;20,3367584656609
2020-01-25;4;"ruta01";648;25,108030472707;20,948939804937
2020-01-25;5;"ruta01";648;24,674155759126;20,86194687835
2020-01-25;6;"ruta01";648;24,8580152182701;20,6139880006613
2020-01-25;7;"ruta01";648;24,6644479130261;20,7819640574298
2020-01-25;8;"ruta01";647;24,4013539773471;20,8097262995829
2020-01-25;9;"ruta01";650;24,7245778215904;20,7967590044176
2020-01-25;10;"ruta01";648;24,7832646668695;21,2831551428964
2020-01-26;1;"ruta01";647;24,4945901716335;21,0610471112468
2020-01-26;2;"ruta01";650;24,3807712973274;20,6761163222769
2020-01-26;3;"ruta01";650;24,3960028520755;20,9123277002773
2020-01-26;4;"ruta01";649;24,5982806881722;20,8410437417435
2020-01-26;5;"ruta01";649;25,2950092567648;20,7478302355526
2020-01-26;6;"ruta01";646;24,8331707450935;20,7030772136033
2020-01-26;7;"ruta01";649;24,6421193756075;20,5870752917879
2020-01-26;8;"ruta01";647;24,9213993361939;20,6712455621429
2020-01-26;9;"ruta01";649;24,9498525532099;20,9474194080676
2020-01-26;10;"ruta01";650;24,5643454085297;20,8403124818898
2020-01-27;1;"ruta01";648;25,0118020457971;20,9009787711448
2020-01-27;2;"ruta01";650;24,7471999351467;21,1530962354198
2020-01-27;3;"ruta01";649;25,29619346574;21,0729371842007
2020-01-27;4;"ruta01";649;24,9222287934873;20,70005978128
2020-01-27;5;"ruta01";648;24,7270244771092;20,8971402954144
2020-01-27;6;"ruta01";649;24,6835912580462;21,0195808222043
2020-01-27;7;"ruta01";649;24,8137650566414;21,2169029398336
2020-01-27;8;"ruta01";648;25,0576359581723;20,5161897610202
2020-01-27;9;"ruta01";648;25,0567666639907;20,6118048839646
2020-01-27;10;"ruta01";648;24,866552930781;20,9532399287099
2020-01-28;1;"ruta01";649;24,7439769322277;21,1651467144013
2020-01-28;2;"ruta01";647;24,7833639444232;20,6022710765044
2020-01-28;3;"ruta01";648;24,7016606257067;20,9463229851238
2020-01-28;4;"ruta01";651;24,5089165296876;20,7694420085672
2020-01-28;5;"ruta01";647;24,6377558752846;20,5749751367752
2020-01-28;6;"ruta01";648;25,0243458529827;20,7068470881683
2020-01-28;7;"ruta01";648;24,7977867316499;21,0008615093859
2020-01-28;8;"ruta01";648;24,4354932862357;20,6808912138344
2020-01-28;9;"ruta01";649;25,0286296825247;20,8639386517855
2020-01-28;10;"ruta01";649;24,6211468908975;20,5642315493193
2020-01-29;1;"ruta01";649;24,4082704233551;20,6406625414087
2020-01-29;2;"ruta01";648;25,1948430863899;20,8358649111788
2020-01-29;3;"ruta01";648;25,1301631041404;21,2317324241121
2020-01-29;4;"ruta01";648;24,8007891293821;20,6021333690543
2020-01-29;5;"ruta01";648;24,836685558606;20,7707429239926
2020-01-29;6;"ruta01";650;24,3837788564615;20,7899529426667
2020-01-29;7;"ruta01";649;24,7672284883935;21,1368371178543
2020-01-29;8;"ruta01";650;24,6119831350327;20,799230093717
2020-01-29;9;"ruta01";647;25,0957756817154;20,7876496166867
2020-01-29;10;"ruta01";646;24,8936489108788;20,6703784229018
2020-01-30;1;"ruta01";649;24,8844538041375;20,766933148475
2020-01-30;2;"ruta01";650;24,729943197239;20,8420591745421
2020-01-30;3;"ruta01";649;24,2553867883101;20,6950251506628
2020-01-30;4;"ruta01";647;24,5511384929394;20,9099030971653
2020-01-30;5;"ruta01";649;24,7411614247539;20,7635258077108
2020-01-30;6;"ruta01";648;24,9847804550695;20,7247811878716
2020-01-30;7;"ruta01";646;24,8087002931727;21,0163797318992
2020-01-30;8;"ruta01";648;24,8563485594352;20,7497033701238
2020-01-30;9;"ruta01";648;24,3750297166682;20,8337515407389
2020-01-30;10;"ruta01";649;25,3046818843498;20,6555398141773
2020-01-31;1;"ruta01";650;25,3106210987292;20,5559793816988
2020-01-31;2;"ruta01";649;24,8564576523705;20,8910528526501
2020-01-31;3;"ruta01";649;25,0268051674474;20,7080452013378
2020-01-31;4;"ruta01";647;24,9609685169883;20,4678041359976
2020-01-31;5;"ruta01";648;24,701384883531;20,5731039896321
2020-01-31;6;"ruta01";648;24,9605932962391;20,7816046044995
2020-01-31;7;"ruta01";647;25,0401823254868;20,7271979309343
2020-01-31;8;"ruta01";647;24,2633362332652;21,0061713557341
2020-01-31;9;"ruta01";650;25,0583280922119;20,7082133093022
2020-01-31;10;"ruta01";647;24,5500426193332;20,795031886112
2020-02-01;1;"ruta01";648;24,7271769322663;20,5350674690049
2020-02-01;2;"ruta01";649;24,4714085119582;20,8602581530463
2020-02-01;3;"ruta01";649;24,5782268808574;20,9329925442078
2020-02-01;4;"ruta01";650;25,2170979021869;21,1043287918194
2020-02-01;5;"ruta01";652;25,3274719009321;21,1099700734845
2020-02-01;6;"ruta01";648;24,5870912416266;20,9131555613987
2020-02-01;7;"ruta01";646;24,4071161056283;20,7923872378905
2020-02-01;8;"ruta01";647;24,9730999506447;20,7247233605162
2020-02-01;9;"ruta01";649;24,2494835903163;20,7514785947363
2020-02-01;10;"ruta01";649;25,0515727510942;20,9937014576317
2020-02-02;1;"ruta01";648;24,704205261355;20,9162831060598
2020-02-02;2;"ruta01";648;24,2364759250411;21,04899563909
2020-02-02;3;"ruta01";648;24,8318744007781;20,820725580711
2020-02-02;4;"ruta01";649;24,95676974679;20,6631702698651
2020-02-02;5;"ruta01";647;24,3803296638862;20,9192051514851
2020-02-02;6;"ruta01";649;24,846315957705;20,9663307431635
2020-02-02;7;"ruta01";648;24,9506102128918;20,8911003501451
2020-02-02;8;"ruta01";648;24,0089901618933;20,6965066473994
2020-02-02;9;"ruta01";647;24,589587922421;20,6465250263948
2020-02-02;10;"ruta01";647;24,4563832195445;20,5751587725492
2020-02-03;1;"ruta01";648;24,4186315586011;20,9469289859354
2020-02-03;2;"ruta01";649;24,3867835810802;21,0121781170355
2020-02-03;3;"ruta01";647;25,0130886816414;20,7507868454303
2020-02-03;4;"ruta01";648;25,0042898638901;20,9371527348296
2020-02-03;5;"ruta01";648;24,9310697099142;20,8540968757114
2020-02-03;6;"ruta01";648;24,4792014717843;20,7832897402838
2020-02-03;7;"ruta01";647;24,6017877977502;20,7499151844936
2020-02-03;8;"ruta01";650;25,0278369613969;20,6872425134713
2020-02-03;9;"ruta01";650;24,7416235701089;20,5975672106837
2020-02-03;10;"ruta01";649;24,9040467185091;20,7404368922301
2020-02-04;1;"ruta01";649;24,994438256035;20,8548484981201
2020-02-04;2;"ruta01";649;24,1643651856171;20,85431327421
2020-02-04;3;"ruta01";648;24,867816737574;20,9167442835851
2020-02-04;4;"ruta01";648;25,3957428483763;20,5927438966441
2020-02-04;5;"ruta01";649;24,3348645823169;20,968556930895
2020-02-04;6;"ruta01";649;24,5838185135397;20,8723244386262
2020-02-04;7;"ruta01";649;25,368771853916;20,7691110716006
2020-02-04;8;"ruta01";648;25,0321309328147;20,8641327759064
2020-02-04;9;"ruta01";649;24,9784992267286;20,9042641763693
2020-02-04;10;"ruta01";647;24,368282173377;20,694108489646
2020-02-05;1;"ruta01";649;24,99426464438;20,6904051309228
2020-02-05;2;"ruta01";649;24,4858121629156;20,9163221451856
2020-02-05;3;"ruta01";650;25,1722747084862;20,9294468833231
2020-02-05;4;"ruta01";650;25,224853840518;20,3878047088363
2020-02-05;5;"ruta01";646;24,5494808031249;20,8283785643563
2020-02-05;6;"ruta01";647;24,4856963413134;20,7469215406685
2020-02-05;7;"ruta01";649;24,6511048104448;20,5666096358703
2020-02-05;8;"ruta01";647;24,5043056660082;20,8350061501632
2020-02-05;9;"ruta01";648;25,2451113082015;20,5897573521087
2020-02-05;10;"ruta01";646;24,3681574704634;20,4540945342801
2020-02-06;1;"ruta01";647;24,8149228220622;20,8802508065494
2020-02-06;2;"ruta01";648;24,5175670724408;20,8934459313801
2020-02-06;3;"ruta01";648;24,9462259498522;20,5718697882294
2020-02-06;4;"ruta01";649;24,8088779006619;21,0481117685625
2020-02-06;5;"ruta01";649;25,0193259712294;20,9216706845211
2020-02-06;6;"ruta01";649;24,5731230270828;20,5819882628129
2020-02-06;7;"ruta01";649;24,9147934499093;20,8457744366075
2020-02-06;8;"ruta01";649;25,0615303144058;20,6020475921244
2020-02-06;9;"ruta01";649;24,9185748010095;21,0588384886311
2020-02-06;10;"ruta01";648;24,7685558656582;20,7703997119935
2020-02-07;1;"ruta01";647;24,8852130023744;20,7703759933711
2020-02-07;2;"ruta01";649;24,857419515038;20,6675279131038
2020-02-07;3;"ruta01";648;24,943020812904;20,6935658878589
2020-02-07;4;"ruta01";647;24,0759799084591;20,8895307269346
2020-02-07;5;"ruta01";648;24,9666362305963;20,9225869706499
2020-02-07;6;"ruta01";649;24,5114414813755;20,9999532348447
2020-02-07;7;"ruta01";649;25,2252127446056;20,9914624310636
2020-02-07;8;"ruta01";648;24,3369089924592;20,7196829449818
2020-02-07;9;"ruta01";649;24,603444390843;20,9732485592835
2020-02-07;10;"ruta01";647;24,8475380520452;20,6875637105582
2020-02-08;1;"ruta01";649;25,0935033868889;20,9954644896299
2020-02-08;2;"ruta01";648;24,8469057314041;20,5702836615275
2020-02-08;3;"ruta01";648;23,8774743789608;20,7801350431502
2020-02-08;4;"ruta01";649;24,650008160235;21,0457646995081
2020-02-08;5;"ruta01";649;24,9217992501213;20,8605385226694
2020-02-08;6;"ruta01";649;24,7772061166459;21,0825812802605
2020-02-08;7;"ruta01";648;24,6034710937621;20,503755256381
2020-02-08;8;"ruta01";647;24,7214473241065;20,821811675222
2020-02-08;9;"ruta01";648;24,9374321450152;20,7838361789103
2020-02-08;10;"ruta01";647;24,4379373271952;20,8671577001894
2020-02-09;1;"ruta01";649;24,8222075643853;20,8370395882006
2020-02-09;2;"ruta01";650;24,8465260182138;20,7505045648693
2020-02-09;3;"ruta01";649;24,4702048701994;20,9901205765169
2020-02-09;4;"ruta01";648;24,993629463655;20,8976738410455
2020-02-09;5;"ruta01";649;24,4319820496211;20,5845960384772
2020-02-09;6;"ruta01";648;24,681719332614;20,8531280687004
2020-02-09;7;"ruta01";650;24,816059208469;21,0676684473372
2020-02-09;8;"ruta01";649;24,7940912200571;20,9084342402227
2020-02-09;9;"ruta01";650;25,4959396435599;20,8407507392151
2020-02-09;10;"ruta01";646;24,1737585894503;20,7131832945081
2020-02-10;1;"ruta01";648;24,9834893155721;20,7588508165599
2020-02-10;2;"ruta01";650;24,8684264235033;20,9350907215611
2020-02-10;3;"ruta01";649;24,3872621171482;20,8278219567635
2020-02-10;4;"ruta01";648;24,3223725554482;20,7535725359422
2020-02-10;5;"ruta01";649;24,8355876343022;20,5448552220939
2020-02-10;6;"ruta01";648;24,6882155357621;20,8791041998961
2020-02-10;7;"ruta01";648;24,9614621873591;20,7994226835236
2020-02-10;8;"ruta01";650;24,5583150318214;21,0043512796094
2020-02-10;9;"ruta01";647;24,8732464168909;20,6154621848586
2020-02-10;10;"ruta01";648;24,4966852329943;20,9155434776379
2020-02-11;1;"ruta01";648;24,7394833003171;21,0444314209928
2020-02-11;2;"ruta01";648;25,3439562469972;20,9673710450368
2020-02-11;3;"ruta01";649;24,3135642922361;20,8423765331186
2020-02-11;4;"ruta01";649;24,4573611681122;21,028022294647
2020-02-11;5;"ruta01";649;24,7372889005954;21,0339926923831
2020-02-11;6;"ruta01";649;25,0932178457918;20,7388527273792
2020-02-11;7;"ruta01";648;24,9819075915469;20,889726389407
2020-02-11;8;"ruta01";649;24,298894691935;20,8691904887661
2020-02-11;9;"ruta01";650;24,8127282941708;20,9184886024483
2020-02-11;10;"ruta01";647;24,6801298566792;20,8416405963299
2020-02-12;1;"ruta01";648;24,8286352375127;20,8169593387315
2020-02-12;2;"ruta01";649;24,1453902766972;20,8182768165401
2020-02-12;3;"ruta01";648;24,2579642703214;20,9808022060374
2020-02-12;4;"ruta01";646;25,0071453771373;20,5064391734289
