fecha;fabricacion;est;mg;ph;cloruros;coliformes
10/11/2020;1;48,18;25,00;4,70;1,28;280
11/11/2020;1;45,36;23,50;4,62;1,55;100
14/11/2020;1;47,92;24,00;4,61;1,46;10
15/11/2020;1;46,17;23,50;4,72;1,40;320
16/11/2020;1;47,14;24,50;4,67;1,37;10
17/11/2020;1;48,58;25,00;4,66;1,31;760
21/11/2020;1;45,26;23,00;4,66;1,34;0
22/11/2020;1;46,14;23,50;4,65;1,37;30
23/11/2020;1;44,55;22,50;4,64;1,24;0
24/11/2020;1;44,36;24,50;4,68;1,31;1130
25/11/2020;1;45,84;23,00;4,68;1,40;1050
29/11/2020;1;45,94;24,50;4,70;1,37;0
30/11/2020;1;45,70;22,00;4,78;1,34;0
01/12/2020;1;47,27;23,00;4,80;1,24;740
02/12/2020;1;45,35;24,50;4,71;1,60;200
07/12/2020;1;46,36;22,50;4,76;1,12;20
12/12/2020;1;47,02;24,00;4,60;1,31;0
13/12/2020;1;44,42;22,50;4,66;1,43;0
15/12/2020;1;45,31;23,50;4,74;1,46;0
16/12/2020;1;44,77;23,50;4,60;1,34;0
19/12/2020;1;45,75;25,00;4,72;1,31;0
20/12/2020;1;46,27;23,50;4,74;1,52;9000
21/12/2020;1;47,28;25,00;4,71;1,31;70
22/12/2020;1;47,12;25,00;4,83;1,60;1200
23/12/2020;1;46,88;24,00;4,83;1,43;0
26/12/2020;1;45,53;23,00;4,79;1,46;10
27/12/2020;1;46,78;23,00;4,85;1,37;545
28/12/2020;1;46,43;24,00;4,78;1,28;0
29/12/2020;1;45,79;23,00;4,74;1,37;13600
29/12/2020;2;43,97;22,50;4,67;1,63;10
